Log_Flow_ms,Depth_cm,Width_m,LOG_Turb_mean_NTU,LOG_DO_mgL,LOG_Temp_mean_C,LOG_Light_mean_lux,LOG_Canopy_cover
0,60,6,0.503790683,1.117271296,1.4448252,3.812400587,1.792741786
0.10720997,56,12.5,0.437750563,1.178976947,1.419294722,4.118756295,1.779957051
0,57,9,0.389166084,1.176091259,1.418135498,3.516385956,1.779307828
0,51,8,0.423245874,1.170261715,1.435525851,2.964919294,1.721975402
0,68,12,0.507855872,1.155336037,1.428620673,2.871532073,1.734319681
0.123851641,60,8,0.450249108,1.178976947,1.428134794,3.639254339,1.702688968
0,55,3,0.392696953,0.986771734,1.428458774,4.369427385,1.948021533
0,55,4,0.354108439,1.017033339,1.425208051,3.378955402,1.844352896
0,53,9.5,0.369215857,1.008600172,1.432809005,4.269293407,1.719331287
0,64,2,0.411619706,1.152288344,1.435525851,3.35894512,1.890756252
0,52,7,0.414973348,1.164352856,1.446226402,4.651440166,1.677150521
0.068185862,66,4,0.334453751,1.170261715,1.443262987,4.201681098,1.746634199
0.117271296,57,5,0.636487896,1.1430148,1.413969972,3.787049365,1.787318757
0.117271296,53,7,0.496929648,1.176091259,1.426185825,4.611827356,1.785044958
0.294466226,66,2,0.442479769,1.178976947,1.422261451,4.64965676,1.976074732
0,76,10,0.85308953,1.181843588,1.438542349,3.553235956,1.852235939
0.096910013,63,7,0.793790385,1.184691431,1.438858659,3.818344681,1.681783766
0.053078443,61,8,0.836956737,1.201397124,1.438542349,3.65132939,1.782902406
0.28780173,61,7,0.346352974,1.193124598,1.415807728,3.818973055,0.004321374
0,64,6,0.309630167,1.170261715,1.415974411,4.603390475,1.739809599
0.278753601,55,4,0.413299764,1.187520721,1.407560849,3.714497409,1.708165858
0,91,10,0.413299764,1.170261715,1.438858659,2.971521694,1.808750972
0.173186268,47,7,0.414973348,1.176091259,1.433129518,3.666124691,1.755112266
0.155336037,102,10.5,0.401400541,1.176091259,1.434249452,4.168945101,0.294466226
0,93,2.7,0.561101384,1.230448921,1.435207103,4.566112917,1.781180721
0,50,7,0.527629901,1.176091259,1.421274791,2.961169463,1.712986234
0,81,3,0.411619706,1.155336037,1.419294722,3.747468519,1.818093869
0,55,5,0.701567985,0.995635195,1.44684771,3.446526294,1.797128988
0,50,8.5,0.800029359,1.025305865,1.450403086,2.745176323,1.837335868
0,70,12,0.91750551,0.991226076,1.455606113,4.061982583,1.092018471
0,53,7,0.457881897,1.198657087,1.449324093,2.947301355,1.837146344
0.017033339,50,7.5,0.330413773,1.193124598,1.449169732,2.860577551,1.77261505
0,63,5,0.369215857,1.173186268,1.450710878,3.52598627,1.70969387
0.008600172,51,2,0.387389826,1.195899652,1.416973173,3.518592895,1.97913847
0,54,10,0.408239965,1.152288344,1.430075056,4.498391477,1.484726804
0,56,10,0.413299764,1.184691431,1.427486109,4.504585979,1.489958479
0,92,12,0.748188027,1.230448921,1.485437481,4.347864503,0.710963119
0,67,12,0.440909082,1.250420002,1.445448514,4.558539739,0.63748973
