Sampling_event,River,Location_Code,Replicate,Treatment,Control_first,Min_from_sunrise,Log_Flow_ms,Depth_cm,Width_m,LOG_Turb_mean_NTU,LOG_DO_mgL,LOG_Temp_mean_C,LOG_Light_mean_lux,LOG_Canopy_cover,totPredPA,TopPPA,Predvisits,TopPvisits,PredFirstV,Predtottime,TopPredTotTime,PredAttack,TopAttack,PredFirstA,LatencyPredFirstA,Trial_length_min,Trial_length_sec,Guppy_Number,Male_Female_ratio,Guppy_length_mm,Time,PC1,PC2,PC3,Sediment_type,Sediment_numeric,Quarry,UpDownStream,UpDownStreamCode,AP,SF,HM,HT,AH,AB,RQ,RD
se011,guanapo,5GuB3,1,control,n,423,0.017033339,49,7,0.579783597,1.204119983,1.43055877,4.551367035,0.687528961,1,1,9,7,72,102,100,0,0,900,0,15,900,0,NA,NA,am,2.26788443,-0.269642735,-0.187386519,rock,4,y,B,mid,1,0,0,1,0,1,0,0
se012,guanapo,5GuB1,1,control,n,521,0.089905111,68,10.5,0.376576957,1.204119983,1.416973173,2.976625052,1.754424789,1,1,5,5,196,8,8,0,0,900,0,15,900,0,NA,NA,am,0.045798423,-0.863428669,0.034766838,pebbles,3,y,B,mid,0,0,0,1,0,0,0,0
se013,st joseph,1StA1,1,control,y,205,0,44,5,0.305351369,1.190331698,1.42357352,4.486863849,1.610234175,1,1,8,8,137,83,83,0,0,900,0,15,900,0,NA,NA,am,0.283553157,-0.230710626,0.705423537,silt,1,y,A,up,1,1,0,0,0,0,0,0
se014,st joseph,1StA2,1,control,y,268,0,81,4,0.357934847,1.190331698,1.423900919,4.501946125,1.877486528,1,1,21,18,76,657,117,1,1,645,195,14,840,0,NA,NA,am,0.3359593,0.553716684,1.576711273,rock,4,y,A,up,1,1,0,0,0,1,0,0
se015,st joseph,1StA3,1,control,y,225,0,73,6,0.488550717,1.187520721,1.414973348,4.477127045,1.914607568,1,1,11,6,409,118,105,0,0,900,0,15,900,0,NA,NA,am,0.323990382,0.207714698,0.786109162,sand,2,y,A,up,1,1,0,0,0,1,0,0
se016,st joseph,1StA1,1,prey,y,285,0,44,5,0.305351369,1.190331698,1.41313205,3.750714308,1.610234175,1,1,59,58,81,685,819,227,227,324,576,15,900,6,0,25.8,am,-0.532820343,-0.59579022,0.462657172,silt,1,y,A,up,1,1,0,0,0,1,0,0
se017,st joseph,1StA2,1,prey,y,301,0,81,4,0.357934847,1.190331698,1.420285885,4.507945823,1.877486528,1,1,31,31,189,848,927,384,384,31,869,15,900,6,0,25.8,am,0.274672957,0.457198034,1.628008025,rock,4,y,A,up,1,1,0,0,0,0,0,0
se018,st joseph,1StA3,1,prey,y,318,0,73,6,0.488550717,1.187520721,1.420450859,4.364999691,1.914607568,1,1,83,80,103,746,1407,5,5,213,687,15,900,6,0,25.8,am,0.32942091,0.342158682,0.654925443,sand,2,y,A,up,1,1,0,0,0,1,0,0
se019,st joseph,1StB1,1,prey,n,443,0,55,2,0.240549248,1.089905111,1.442322956,2.752609209,1.874829578,1,1,89,86,68,867,1499,328,325,182,718,15,900,8,0,21,pm,-2.013900856,0.950850994,0.496326117,leaf_litter,5,y,B,mid,1,1,0,0,0,1,0,0
se020,st joseph,1StB2,1,prey,n,464,0,69,4,0.336459734,1.08278537,1.43949059,3.154463536,1.82724,1,1,18,18,167,794,868,358,358,206,694,15,900,8,0,21,pm,-1.181092412,1.309137299,0.637367276,pebbles,3,y,B,mid,1,1,0,0,0,0,0,0
se021,st joseph,1StB3,1,prey,n,484,0,62,6,0.252853031,1.025305865,1.445915414,4.485898373,0.709269961,1,1,38,38,195,873,911,1,1,51,849,15,900,8,0,21,pm,1.392746434,1.837281986,1.60448013,silt,1,y,B,mid,1,1,0,0,0,0,0,0
